Month,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,
June-2001,61.35,61.35,61.35,61.35,56000,1,3435600.00,0.00,,,0.00,
June-2001,65.80,65.80,48.35,50.95,8724101,46795,494709026.00,17.45,,,-14.85,@
July-2001,51.00,54.90,43.50,46.55,1772739,13500,88136620.00,11.40,,,-4.45,
August-2001,46.60,50.45,45.30,45.75,575656,5315,27306348.00,5.15,,,-0.85,
September-2001,46.10,46.25,33.10,40.15,1119320,10365,43137599.00,13.15,,,-5.95,
October-2001,41.80,50.00,35.80,45.75,1249778,11949,53724592.00,14.20,,,3.95,
November-2001,46.70,57.35,45.00,53.40,2076370,16808,107854731.00,12.35,,,6.70,
December-2001,54.00,65.85,44.70,53.60,3410242,25493,194482511.00,21.15,,,-0.40,
January-2002,54.30,57.30,51.25,52.50,2026958,18970,110853166.00,6.05,,,-1.80,
February-2002,53.00,65.00,51.10,53.45,4400945,34277,261752756.00,13.90,1004541,22.83,0.45,
March-2002,52.00,59.40,50.00,52.40,1440724,13620,79950391.00,9.40,748845,51.98,0.40,
April-2002,52.50,57.95,51.10,52.25,1333254,12553,71774901.00,6.85,644995,48.38,-0.25,
May-2002,53.00,56.60,43.40,47.20,1476997,13529,75439615.00,13.20,784734,53.13,-5.80,
June-2002,47.95,64.90,47.75,54.55,7912372,51023,465932424.00,17.15,2375529,30.02,6.60,
July-2002,55.00,60.50,45.00,47.70,3185338,25144,175031517.00,15.50,1295801,40.68,-7.30,
August-2002,48.45,50.80,46.60,48.55,1212088,11531,58909703.00,4.20,511412,42.19,0.10,
September-2002,49.50,51.00,45.05,45.55,696795,6528,33262159.00,5.95,359028,51.53,-3.95,
October-2002,45.90,46.75,42.55,46.35,797097,7059,35573763.00,4.20,426233,53.47,0.45,
November-2002,46.50,54.75,45.15,53.60,1744520,12657,88267703.00,9.60,733868,42.07,7.10,
December-2002,54.20,59.50,52.25,58.05,3412367,26080,191628378.00,7.25,1342003,39.33,3.85,
January-2003,58.25,58.80,50.10,51.40,2271993,17141,123531197.00,8.70,1114059,49.03,-6.85,
February-2003,50.85,64.30,50.50,59.50,12821641,67717,771056161.00,13.80,2552303,19.91,8.65,
March-2003,60.25,61.20,48.50,48.60,5116346,36548,277762979.00,12.70,1576522,30.81,-11.65,
April-2003,48.60,54.80,48.50,52.40,2825194,21524,149167945.00,6.30,1182400,41.85,3.80,
May-2003,52.55,59.95,52.25,57.30,5331445,32705,301664759.00,7.70,2377505,44.59,4.75,
June-2003,57.70,73.60,57.05,70.85,21194195,107741,1407507349.00,16.55,5458235,25.75,13.15,
July-2003,71.25,76.35,62.60,71.05,18996109,103031,1373889191.00,13.75,5185834,27.30,-0.20,
August-2003,71.85,81.60,70.60,78.35,19687222,102859,1510218427.00,11.00,5231851,26.57,6.50,
September-2003,79.05,83.25,70.50,75.00,14512022,81706,1131595644.00,12.75,3844785,26.49,-4.05,
October-2003,74.75,89.60,73.50,76.35,18932151,105158,1553088399.00,16.10,5313202,28.06,1.60,
November-2003,76.90,109.35,76.90,106.45,41344678,192897,3884365206.00,32.45,9492149,22.96,29.55,
December-2003,107.00,135.75,106.55,131.45,47428372,234695,5732032067.00,29.20,9025814,19.03,24.45,
January-2004,132.25,153.65,123.45,133.60,43962615,260533,6241289242.00,30.20,8508977,19.36,1.35,
February-2004,134.50,143.00,121.00,133.70,24187104,163133,3233651710.00,22.00,4449426,18.40,-0.80,
March-2004,135.00,146.75,115.00,131.45,20443456,149061,2762609317.00,31.75,4431305,21.68,-3.55,
April-2004,132.00,169.35,132.00,145.65,25447508,186741,3999443621.00,37.35,5498525,21.61,13.65,
May-2004,146.00,164.80,113.90,130.40,23355999,196037,3396773653.00,50.90,4663414,19.97,-15.60,
June-2004,131.90,137.30,109.10,121.45,14107901,126445,1725155800.00,28.20,2862283,20.29,-10.45,
July-2004,122.00,130.70,107.00,124.10,11630740,101026,1410005973.00,23.70,2729223,23.47,2.10,
August-2004,125.40,137.90,121.75,137.25,8899130,77574,1145028366.00,16.15,2663916,29.93,11.85,
September-2004,137.75,147.25,133.90,145.40,7989066,72263,1122901946.00,13.35,2468965,30.90,7.65,
October-2004,145.75,150.00,131.40,132.85,3829603,39863,545683844.00,18.60,1320316,34.48,-12.90,
November-2004,134.50,152.00,129.30,138.80,7159713,58206,997887934.00,22.70,2083075,29.09,4.30,
December-2004,140.95,146.20,130.00,131.75,6090206,51881,831405391.00,16.20,2124406,34.88,-9.20,
January-2005,133.40,146.95,132.00,144.55,5565434,43028,777074371.00,14.95,2496798,44.86,11.15,
February-2005,145.80,177.70,142.05,173.45,10864203,91153,1757754414.00,35.65,3269322,30.09,27.65,
March-2005,174.00,193.60,151.90,178.50,18006383,117791,3199072327.00,41.70,3200003,17.77,4.50,
April-2005,179.60,204.35,163.60,168.05,21683798,152391,4085998442.00,40.75,3113077,14.36,-11.55,
May-2005,169.60,197.75,166.00,196.10,9695834,76094,1753567021.00,31.75,1723984,17.78,26.50,
June-2005,198.00,397.70,195.10,374.70,130675032,805319,41915146003.00,202.60,7847041,6.01,176.70,
July-2005,374.45,426.00,373.10,419.75,89142550,622914,35830084886.00,52.90,5967892,6.69,45.30,
August-2005,425.00,496.50,421.00,474.70,84062700,597048,39001918132.00,75.50,5112205,6.08,49.70,
September-2005,475.10,484.95,363.00,386.35,52566214,383088,22269348635.00,121.95,4743910,9.02,-88.75,
October-2005,389.90,409.70,327.10,360.10,57952415,500826,21497761184.00,82.60,3947689,6.81,-29.80,
November-2005,404.00,452.35,349.55,432.30,66477650,554589,27535088520.00,102.80,4280402,6.44,28.30,
December-2005,433.70,473.00,415.00,438.60,53248500,514135,24022752947.00,58.00,3155200,5.93,4.90,
January-2006,442.90,482.90,420.55,479.75,26933693,262184,12174118317.00,62.35,2121640,7.88,36.85,
February-2006,481.00,507.85,435.60,500.00,34550696,276512,16045932536.00,72.25,5364861,15.53,19.00,
March-2006,502.30,545.00,487.70,519.40,28271087,241760,14548320348.00,57.30,5537859,19.59,17.10,
April-2006,520.00,572.00,460.00,570.05,16815905,173737,8903464931.00,112.00,2829888,16.83,50.05,
May-2006,574.80,640.00,415.55,512.90,24549543,242018,13727636356.00,224.45,4769547,19.43,-61.90,
June-2006,519.00,528.00,320.10,489.80,49962804,640466,22885240994.00,207.90,5343921,10.70,-29.20,
July-2006,495.00,507.40,392.00,418.10,40188253,504043,18178380654.00,115.40,3404590,8.47,-76.90,
August-2006,416.50,494.00,411.00,464.85,22103915,299723,10037310541.00,83.00,2728434,12.34,48.35,
September-2006,468.00,575.00,464.00,570.90,30443654,329473,15948094219.00,111.00,5592488,18.37,102.90,
October-2006,572.50,593.90,551.00,584.55,10421763,142627,6003728858.00,42.90,1676472,16.09,12.05,
November-2006,586.00,642.80,547.05,595.15,17575095,226733,10258756663.00,95.75,3488193,19.85,9.15,
December-2006,598.50,629.70,530.00,606.40,10331148,149485,6040009263.00,99.70,2597053,25.14,7.90,
January-2007,608.30,670.90,602.00,620.35,9181850,123883,5845094134.00,68.90,2500262,27.23,12.05,
February-2007,625.80,729.00,611.10,623.75,10485820,162254,7096567926.00,117.90,1918467,18.30,-2.05,
March-2007,620.00,678.85,559.50,668.05,11714685,198708,7326182831.00,119.35,2215136,18.91,48.05,
April-2007,645.00,754.45,607.40,713.00,11478968,191420,7861348038.00,147.05,2022537,17.62,68.00,
May-2007,725.00,1046.40,720.00,954.20,27457415,441443,24941268991.00,326.40,4365140,15.90,229.20,
June-2007,964.00,1125.00,901.00,1088.15,17725984,320130,18258107931.00,224.00,2440796,13.77,124.15,
July-2007,1093.00,1301.85,1076.10,1201.45,12214732,240528,14481491110.00,225.75,2255831,18.47,108.45,
