Month,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
Dec-06,473,501.9,424.15,482.3,29612046,411533,13709606272,77.75,9548374,32.24,9.3
Jan-07,484,520.85,451.5,463.95,23120313,326682,11057840925,69.35,9344653,40.42,-20.05
Feb-07,465,479.55,427.55,442.5,32211348,384430,14732945457,52,11594719,36,-22.5
Mar-07,449.7,465.25,399,449.6,25209751,356185,10951464158,66.25,7308840,28.99,-0.1
Apr-07,445,585,421.05,549.6,45924886,581554,23808496943,163.95,15735150,34.26,104.6
May-07,555.1,662,540.1,632.2,26126326,416208,15659037766,121.9,5350840,20.48,77.1
Jun-07,635,646.7,573.7,597.2,13248162,268235,8053351051,73,2656277,20.05,-37.8
Jul-07,602,731,591.5,655.4,19736006,314015,13200842026,139.5,4205867,21.31,53.4
Aug-07,641.2,693,533,689.7,24860298,407320,15238900896,160,6683189,26.88,48.5
Sep-07,692,868.1,676.95,850.35,21378570,322954,15841316656,191.15,5268682,24.64,158.35
Oct-07,860,1048.8,768.85,905.05,24930616,460694,22184742578,279.95,4787791,19.2,45.05
Nov-07,924,924,785.25,825.7,10854422,192340,9260427304,138.75,3614609,33.3,-98.3
Dec-07,833,950,765,934.8,10975457,181142,9549411750,185,3531039,32.17,101.8
Jan-08,938,952,557,733.5,15483848,222723,12281881387,395,5858170,37.83,-204.5
Feb-08,748,845.85,702.65,801.55,17258046,335780,13716041636,143.2,3913427,22.68,53.55
Mar-08,790,838,575.5,693.15,19441232,406217,13857871114,262.5,3557257,18.3,-96.85
Apr-08,700,823.1,641,817.6,19202856,398553,14049123685,182.1,3493966,18.2,117.6
May-08,825.9,925,787.15,902.9,24212679,482849,20918667125,137.85,3110325,12.85,77
Jun-08,906,915.9,687.6,728.35,26251840,579756,20993230685,228.3,2536258,9.66,-177.65
Jul-08,730,750,577.5,654.95,38322828,832511,24744566860,172.5,6265039,16.35,-75.05
Aug-08,649.2,699.9,566.15,600.35,32740944,710320,20455190553,133.75,7261351,22.18,-48.85
Sep-08,595,600,413.1,425.6,38683765,618069,19364486557,186.9,16573077,42.84,-169.4
Oct-08,431,445.9,150,210.1,56132806,944261,14737202268,295.9,14475149,25.79,-220.9
Nov-08,219,249.8,146.35,150.95,72394978,1057845,13131492621,103.45,11890179,16.42,-68.05
Dec-08,153,237.35,146.4,216.85,89814549,1173770,18217419379,90.95,11962135,13.32,63.85
Jan-09,218.4,260,165.1,184.65,67640787,935918,13791853178,94.9,9996933,14.78,-33.75
Feb-09,181,203.95,156.6,172.35,50938279,664927,9119412966,47.35,8328283,16.35,-8.65
Mar-09,170.1,227.75,148.65,206,85363195,978750,15548802076,79.1,12033911,14.1,35.9
Apr-09,208,298,203.3,238.05,92122329,1018316,23380529361,94.7,12356475,13.41,30.05
May-09,245.65,412.65,245.1,406.3,96861952,1153994,30403022541,167.55,14744707,15.22,160.65
